codice,nome,nome_da_ricerca,grado,grado_da_ricerca,indirizzo,url,libri_in_media,libri_da_acquistare,anni,spesa_media_eur,anno_costruzione,superficie_mq,piani,studenti_2023_2024,variazione_annua_pct,trend_2015_2024_pct,supplenti_provincia,titolari_provincia,pct_supplenti_provincia,invalsi_italiano_ii_superiore_pct,invalsi_matematica_ii_superiore_pct,invalsi_italiano_v_superiore_pct,invalsi_matematica_v_superiore_pct,invalsi_fonte,invalsi_nota_aggregazione
LCTD00101G,FRANCESCO VIGANO',FRANCESCO VIGANO',Scuola Secondaria di Secondo Grado,Scuola Secondaria di Secondo Grado,"VIA DEI LODOVICHI 2, 23807 MERATE ( LECCO )",https://www.docente.it/scuola/francesco-vigano-merate-lctd00101g,14,8,5,"265,73",1983,38.489,5,568,-8.1,-2.4,904,3435,20.8,77,87,81,85,Dati 2024-25 - Media delle scuole nel comune di MERATE - Fonte: INVALSI,media comunale
LCIS001009,FRANCESCO VIGANO MERATE,FRANCESCO VIGANO MERATE,Scuola Secondaria di Secondo Grado,Scuola Secondaria di Secondo Grado,"VIA DEI LODOVICHI 2, 23807 MERATE ( LECCO )",https://www.docente.it/scuola/francesco-vigano-merate-lcis001009,,,,,1983,38.489,5,,,,904,3435,20.8,77,87,81,85,Dati 2024-25 - Media delle scuole nel comune di MERATE - Fonte: INVALSI,media comunale
LCTF00101T,I.T.I.S. DI MERATE,I.T.I.S. DI MERATE,Scuola Secondaria di Secondo Grado,Scuola Secondaria di Secondo Grado,"VIA DEI LODOVICHI 2, 23807 MERATE ( LECCO )",https://www.docente.it/scuola/i-s-di-merate-lctf00101t,13,8,5,"250,06",1983,37.025,1,569,+3.1,+63.5,904,3435,20.8,77,87,81,85,Dati 2024-25 - Media delle scuole nel comune di MERATE - Fonte: INVALSI,media comunale
LCPS020004,M.G. AGNESI,M.G. AGNESI,Scuola Secondaria di Secondo Grado,Scuola Secondaria di Secondo Grado,"VIA DEI LODOVICHI 10, 23807 MERATE ( LECCO )",https://www.docente.it/scuola/m-g-agnesi-merate-lcps020004,16,10,5,"291,83",,37.025,1,1102,+3.9,-5.5,904,3435,20.8,77,87,81,85,Dati 2024-25 - Media delle scuole nel comune di MERATE - Fonte: INVALSI,media comunale
